episode,status,runtime,reward,collisions_agent,collisions_obs,success
0,Success,3.11,-4.378,0,0,1
1,Obstacle Collision,4.74,-3.006,0,1,0
2,Success,7.82,-0.128,0,0,1
3,Success,8.66,-0.028,0,0,1
4,Obstacle Collision,9.47,-5.528,0,1,0
5,Success,11.85,-3.489,0,0,1
6,Success,14.5,-0.067,0,0,1
7,Obstacle Collision,16.75,-2.167,0,1,0
8,Obstacle Collision,19.21,-1.107,0,1,0
9,Success,21.61,-0.067,0,0,1
10,Obstacle Collision,23.41,-1.328,0,1,0
11,Agent Collision,24.9,-2.611,1,0,0
12,Success,26.8,-0.061,0,0,1
13,Success,28.61,-0.056,0,0,1
14,Obstacle Collision,29.81,-1.3,0,1,0
15,Success,31.66,-0.061,0,0,1
16,Obstacle Collision,32.07,-1.722,0,1,0
17,Success,33.85,-2.622,0,0,1
18,Obstacle Collision,35.28,-1.289,0,1,0
19,Success,37.14,-0.061,0,0,1
20,Success,38.3,-0.05,0,0,1
21,Success,39.3,-0.044,0,0,1
22,Obstacle Collision,39.74,-1.261,0,1,0
23,Success,40.9,-0.039,0,0,1
24,Obstacle Collision,41.74,-1.172,0,1,0
25,Success,43.45,-0.078,0,0,1
26,Success,46.29,-0.094,0,0,1
27,Success,49.14,-0.139,0,0,1
28,Success,50.85,-0.05,0,0,1
29,Success,52.76,-0.911,0,0,1
30,Success,54.78,-0.056,0,0,1
31,Success,56.24,-0.05,0,0,1
32,Success,57.86,-0.056,0,0,1
33,Success,60.58,-1.8,0,0,1
34,Success,61.5,-0.039,0,0,1
35,Success,63.31,-0.067,0,0,1
36,Obstacle Collision,64.84,-1.294,0,1,0
37,Success,66.09,-0.039,0,0,1
38,Obstacle Collision,66.86,-0.952,0,1,0
39,Success,69.58,-0.939,0,0,1
40,Success,72.1,-0.083,0,0,1
41,Obstacle Collision,72.53,-1.261,0,1,0
42,Success,75.78,-2.656,0,0,1
43,Success,78.86,-5.244,0,0,1
44,Obstacle Collision,79.98,-1.306,0,1,0
45,Obstacle Collision,80.57,-2.978,0,1,0
46,Obstacle Collision,81.77,-1.3,0,1,0
47,Obstacle Collision,83.31,-1.103,0,1,0
48,Obstacle Collision,84.45,-1.283,0,1,0
49,Obstacle Collision,85.85,-1.311,0,1,0
50,Success,87.62,-0.05,0,0,1
51,Obstacle Collision,88.53,-1.294,0,1,0
52,Timeout,95.94,-0.6,0,0,0
53,Obstacle Collision,97.1,-1.278,0,1,0
54,Obstacle Collision,98.09,-1.278,0,1,0
55,Obstacle Collision,99.85,-1.294,0,1,0
56,Agent Collision,102.63,-1.789,1,0,0
57,Success,105.3,-0.078,0,0,1
58,Obstacle Collision,106.97,-1.07,0,1,0
59,Success,110.98,-0.111,0,0,1
60,Obstacle Collision,112.1,-1.173,0,1,0
61,Success,114.18,-0.078,0,0,1
62,Obstacle Collision,115.31,-1.278,0,1,0
63,Success,116.79,-0.05,0,0,1
64,Obstacle Collision,117.88,-1.278,0,1,0
65,Success,119.58,-0.061,0,0,1
66,Obstacle Collision,120.92,-1.294,0,1,0
67,Obstacle Collision,122.3,-1.306,0,1,0
68,Success,124.34,-0.056,0,0,1
69,Obstacle Collision,125.46,-3.705,0,1,0
70,Success,128.2,-4.356,0,0,1
71,Success,130.93,-1.822,0,0,1
72,Obstacle Collision,133.14,-1.328,0,1,0
73,Success,134.54,-0.039,0,0,1
74,Success,135.7,-0.039,0,0,1
75,Agent Collision,136.62,-4.306,1,0,0
76,Success,139.54,-0.939,0,0,1
77,Success,142.07,-0.094,0,0,1
78,Success,144.68,-1.817,0,0,1
79,Success,145.84,-0.033,0,0,1
80,Obstacle Collision,146.53,-1.272,0,1,0
81,Success,148.32,-0.072,0,0,1
82,Obstacle Collision,149.81,-1.306,0,1,0
83,Success,151.2,-0.05,0,0,1
84,Success,153.88,-0.072,0,0,1
85,Success,155.1,-0.039,0,0,1
86,Agent Collision,157.23,-2.65,1,0,0
87,Obstacle Collision,158.34,-0.967,0,1,0
88,Success,160.77,-0.128,0,0,1
89,Success,161.75,-0.039,0,0,1
90,Success,162.91,-0.056,0,0,1
91,Success,163.76,-0.039,0,0,1
92,Success,166.03,-0.067,0,0,1
93,Obstacle Collision,166.87,-1.278,0,1,0
94,Obstacle Collision,169.63,-1.383,0,1,0
